,song_index,topic,name,artist,lyrics,res_API,status_API,name_API
838,838,Songs about a breakup,Breaking Up Was Easy In The 90s,Sam Hunt,"Yeah, man, oh man, oh man

Bartender looked at me like
""Pony up, man, we're closin' down""
I paid the tab, and I turned around
Got on that phone on the way home
And ended up down the rabbit hole again
It's funny how you haven't changed a bit
But you're twice as pretty
Glad you finally got to see New York City
And I know it's not a race
But it looks like you're gettin' over me
Faster than I'm gettin' over you
But hey, what you gon' do?

I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
Try to let you go, somethin' always reminds me
I bet breakin' up was easy in the '90s
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s

Back then, I could've convinced myself
That maybe you called when I was out
But you didn't know what to say, so you didn't leave a message
And that you're probably at home right now, sound asleep
'Cause goin' out isn't really your thing
And I wouldn't have a clue what you been up to lately
Or who you been up to it with
But when I don't miss your calls, I miss you callin'
And I go 'round and 'round again

I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
Try to let you go, somethin' always reminds me
I bet breakin' up was easy in the '90s
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s

Modern love, it's the modern hearts breakin'
I'm just a product of my generation, and I
'Bout had enough, watchin' you gettin' on with your life

Baby, I'm sick of sittin' at the house, dyin' on my phone
Wishin' I was somewhere I can be alone
I try to let you go, somethin' always reminds me
(I bet breakin' up was easy in the '90s)
I'm tired of gettin' drunk, tired of bein' free
Tired of seein' pictures I don't wanna see
Girl, you're everywhere, everywhere but behind me
I bet breakin' up was easy in the '90s

Hearts breakin'
I'm a product of my
Oh, a product of my generation, oh, and I
My baby, my baby",aprox,200,Breaking Up Was Easy In The 90's
843,843,Songs about a breakup,Bye Bye Baby,Taylor Swift,"It wasn't just like a movie
The rain didn't soak through my clothes, down to my skin
I'm driving away and I, I guess you could say
This is the last time I'll drive this way again
Lost in the gray and I try to grab at the fray
Cause I, I still love you but I can't

Bye, bye, to everything I thought was on my side
Bye, bye, baby
I want you bad but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me
Bye, bye, baby
Bye, bye, baby

The picture frame is empty
On the dresser, vacant just like me
I see your writing on the dash
Then back to your hesitation
I was so sure of everything
Everything I thought we'd always have
Guess I never doubted it
Then the here and the now floods in
Feels like I'm becoming a part of your past

Bye, bye, to everything I thought was on my side
Bye, bye, baby
I want you bad but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me
Bye, bye, baby
Bye, bye, baby

And there's so much that I can't touch
You're all I want but it's not enough this time
And all the pages are just slipping through my hands
And I'm so scared of how this ends

Bye, bye, to everything I thought was on my side
Bye, bye, baby
I want you bad but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me
Bye, bye, baby
Bye, bye, baby

Bye, bye, to everything I thought was on my side
Bye, bye, baby
I want you bad but it's come down to nothing
And all I have is your sympathy
'Cause you took me home but you just couldn't keep me
Oh, you took me home, I thought you were gonna keep me
Bye, bye, baby
Bye, bye, baby",aprox,200,Bye Bye Baby (Taylor's Version) (From The Vault)
846,846,Songs about a breakup,Can We Still Be Friends?,Todd Rundgren,"We can't play this game anymore
But can we still be friends
Things just can't go on like before
But can we still be friends
We had something to learn
Now it's time for the wheel to turn
Grains of sand, one by one
Before you know it, all gone

Let's admit we made a mistake
But can we still be friends
Heartbreak's never easy to take
But can we still be friends
It's a strange, sad affair
Sometimes seems like we just don't care
Don't waste time feeling hurt
We've been through hell together
",aprox,200,Can We Still Be Friends
859,859,Songs about a mother or father,"10,000 Days (Wings, Pt. 2)",Tool,"We listen to the tales and romanticize,
how we follow the path of the hero.

Boast about the day when the rivers overrun,
How we'll rise to the height of our halo.

Listen to the tales as we all rationalize,
our way into the arms of the savior.
Feigning all the trials and the tribulations.

None of us have actually been there,
Not like you...

Ignorant siblings in the congregation.
Gather around spewing sympathy,
Spare me...

None of them can even hold a candle up to you.
Blinded by choice, these hypocrites won't see.

But enough about the collective Judas.
Who could deny you were the one who illuminated?
Your little piece of the divine.

And this little light of mine, a gift you passed on to me
I'm gonna let it shine
to guide you safely on your way.

Your way home...

Oh, what are they gonna do when the lights go down?
Without you to guide them all to Zion*?
What are they gonna do when the rivers overrun,
Other than tremble incessantly.

High is the way,
but our eyes are upon the ground.
You are the light and the way.
They'll only read about.
I only pray heaven knows,
when to lift you out.

10.000 days in the fire is long enough.
You're going home...

You're the only one who can hold your head up high.
Shake your fist at the gates saying,
""I have come home now...!""
Fetch me the spirit, the son and the father.
Tell them their pillar of faith has ascended.

""It's time now!
My time now!
Give me my
Give me my wings...!""

Give me my [x5]

(Give me my wings)

You are the light, the way,
that they will only read about.

Set as I am in my ways and my arrogance.
Burden of proof tossed upon the believers.
You were my witness, my eyes, my evidence,
Judith Marie, unconditional one.

Daylight dims leaving cold fluorescence.
Difficult to see you in this light.
Please forgive this bold suggestion.
Should you see your maker's face tonight,
Look him in the eye.
Look him in the eye and tell him,
I never lived a lie, never took a life,
But surely saved one.

Hallelujah
It's time for you to bring me home.

*Zion, de Matrix",aprox,200,10.000 Days
879,879,Songs about a breakup,Different for Girls,Dierks Bentley,"She don't throw any t-shirt on and walk to a bar
She don't text her friends and say, ""I gotta get laid tonight. ""
She don't say, ""It's okay, I never loved him anyway. ""
She don't scroll through her phone just looking for a Band-Aid
It's different for girls when their hearts get broke
They can't tape it back together with a whiskey and Coke
They don't take someone home and act like it's nothing
They can't just switch it off every time they feel something
A guy gets drunk with his friends and he might hook up
Fast forward through the pain, pushing back when the tears come on
But it's different for girls
She don't sleep all day and leave the house a wreck
She don't have the luxury to let herself go
(She won't call just to curse
Found a wall she can punch
When the going gets tough, yeah, the guys they can just act tough)
It's different for girls when their hearts get broke
They can't tape it back together with a whiskey and Coke
They don't take someone home and act like it's nothing
They can't just switch it off every time they feel something
A guy gets drunk with his friends and he might hook up
Fast forward through the pain, pushing back when the tears come on
But it's different for girls
It's different for girls
Nobody said it was fair
When love disappears, they can't pretend it was never there
A guy gets drunk with his friends and he might hook up
Fast forward through the pain, pushing back when the tears come on
When the going gets tough, yeah, the guys they can just act tough
So tough
It's different for girls",aprox,200,Different For Girls (Feat. Elle King)
880,880,Songs about a mother or father,A Father's Love (The Only Way He Knew How),Bucky Covington,"For the longest time guess I thought he didn't give a damn
Hard to read, hard to please, yeah that was my old man
On the day I left for college, it was nothing new
We never had the heart to heart, there was too much to do

He checked the air in my tires, 
The belts and all the spark plug wires
He said, when in hell's the last time you had this oil changed?
And as I pulled out the drive, 
He said be sure to call your mom sometime
And I didn't hear it then, but I hear it now, 
He was saying I love you the only way he knew how.

A 120,000 miles, six years down the road
A brand new life and a brand new wife 
And we'd just bought our first home
When he finally came to visit, I thought he'd be so proud
He never said he liked the place, he just got his tool belt out

And put new locks on the doors, 
Went back and forth to the hardware store
Said come and hold this flashlight, 
As he crawled beneath the sand
These old wires aint up to code 
And that old circuit box is going to overload
And I didnt hear it then, but I hear it now
He was saying I love you the only way he knew how

Last Sunday we all gathered for his 65th birthday, 
I knew hed stiffen up but I hugged him anyway,
When it was finally time to say goodbye I knew what was next, 
Just like he always does, right before we left

He checked the air in my tires, 
The belts and all the spark plug wires
He said, when in hell's the last time you had this oil changed?
And as I pulled out the drive, 
He said be sure to call your mom sometime
And I didn't hear it then, but I hear it now, 
He was saying I love you, 
He was saying I love you the only way he knew how.",aprox,200,A Father's Love
911,911,Songs about a mother or father,Baby Father,Sade,"Babyfather.

We were waiting for the bus
No-one much around but us
Then I see this young boy cut a look at me
I'm stunned in a daze
He had the whole street set ablaze
It's only love they say
Makes you feel this way

She liked his eyes she wanted more
The baby gonna have your smile for sure
He saw a lovely girl
Smelling sweet and soapy like fresh air
She saw him looking acted like she didn't care

That's how we knew
And so love grew a flower
A flower that is you.

Your daddy knows you're a flame
Your daddy knows you're a flame
Your daddy knows you're a flame
Your daddy knows you're a flame

Even to the angels it may sound like a lie
For you child
He has the troops and extra backup standing by

For you child
For you he's the best he can be
For you child
For you he's the best he can be
Oh child don't you know
(Your daddy love come with a life time guarantee)

Your daddy knows you're a flame
Your daddy knows you're a flame
(Yeah daddy love you child)
Your daddy knows you're a flame
Your daddy knows you're a flame
(Daddy love you yeah)

It's only you he'll say
Made the young boy hungry for the man he is today
It' only love, love, love, love
Can make you feel this way

Your daddy knows you're a flame
Your daddy knows you're a flame
(Yeah daddy love you child)
Your daddy knows you're a flame
Your daddy knows you're a flame
(Daddy love you yeah)
Your daddy love come with a life time guarantee.

Oh child, don't you know? 
Your daddy love come with a life time guarantee.

By Denise Café.",aprox,200,Babyfather
961,961,Songs about alcohol,Alabama Song (Whiskey Bar),The Doors,"Well, show me the way 
To the next whiskey bar 
Oh, don't ask why 
Oh, don't ask why 

Show me the way 
To the next whiskey bar
Oh, don't ask why 
Oh, don't ask why 

For if we don't find 
The next whiskey bar 
I tell you we must die
I tell you we must die 
I tell you, I tell you I tell you we must die 

Oh, moon of Alabama 
We now must say goodbye 
We've lost our good old mama 
And must have whiskey, oh, you know why 

Oh, moon of Alabama 
We now must say goodbye 
We've lost our good old mama
And must have whiskey, oh, you know why 

Well, show me the way 
To the next little girl 
Oh, don't ask why 
Oh, don't ask why 

Show me the way 
To the next little girl 
Oh, don't ask why Oh, don't ask why 

For if we don't find 
The next little girl 
I tell you we must die
I tell you we must die
I tell you, I tell you I tell you we must die 

Oh, moon of Alabama 
We now must say goodbye 
We've lost our good old mama 
And must have whiskey, oh, you know why",aprox,200,Alabama Song
971,971,Songs about a breakup,Everything Breaks,Jewel,"Everything Breaks Sometime -- Jewel


Under the shadows, forbidden and hot
Desire grows, more often than not

I'm sorry's a stupid thing to say
Especially considering it's not like I planned it this way

But I'm sorry is all that there is left of me
I'm so sorry this love left me hollow and made you empty

Maybe I could have loved you better
Maybe you should have loved me more
Maybe our hearts were just next in line
Maybe everything breaks sometime
Everything breaks sometime

It's hard to believe its boiled down to this
It seems so surreal this won't be healed by a kiss
It's hard to stare at you knowing you like I have
I used to feel so close, now I feel so bad

My heart's filled with thunderstorms and I'm ready to burst
And I've lost my favorite harbor and I'll weather for the worst

Maybe I could have loved you better
Maybe you should have loved me more
Maybe our hearts were just next in line
Maybe everything breaks sometime
Everything breaks sometime
I'm so sorry,
everything breaks sometime
",aprox,200,Everything Breaks Sometime
976,976,Songs about a breakup,First Time Again,Jason Aldean,"The mention of your name
That's all it takes
My heart re-breaks
My whole world shakes
And it's flashback driveway pouring rain
Nothing I could do nothing I could say
To slow you down
And right now

It's like the first
Time watching you walk away
Begging baby please just stay
Feeling every second of the clock tick by
On an endless night
The first time seeing you with someone new
Dying inside trying to play it cool
It don't matter how long it's been
I'm always missing you
For the first time again

It could start with an old song
Feeling you come on
It could be at a party
Seeing everybody
And I'm right back wishing
You were right back here
Wishing that missing
You would just disappear
But it don't and it won't
And baby here I go

It's like the first time
Watching you walk away
Begging baby please just stay
Feeling every second of the clock tick by
On an endless night
The first time seeing you with someone new
Dying inside trying to play it cool
It don't matter how long it's been
I'm always missing you
For the first time again
Oh, for the first time again

It don't let up, it don't get better
Hell it just might last forever
But it all takes me back
It all takes me back

To the first time watching you walk away
Begging baby please just stay
Feeling every second of the clock tick by
On an endless night
The first time seeing you with someone new
Dying inside trying to play it cool
It don't matter how long it's been
I'm always missing you
For the first time again
I'm always missing you
For the first time again
For the first time again",aprox,200,First Time Again (Feat. Kelsea Ballerini)
1069,1069,Songs about affairs,Daddy,Dolly Parton,"In this mental institution, lookin' out through these iron bars 
How could he put me in here, how could he go that far 
Yes I need help but not this kind, he didn't love me from the start 
But it's not my mind that's broken, it's my heart 
Oh Daddy come and get me and take me home with you 
I'm depending on you Daddy, there's nothing I can do 
And you said that I could come to you if I ever was in need 
But Daddy I can't come to you, you'll have to come to me 

When he said he loved another, I was crazy with jealousy 
That's 'cause I was crazy over him and I couldn't stand to set him free 
And I couldn't stand to lose him and I cried and cried for days 
And he said that I was crazy but he just put me in here to get me out of his way 
Daddy come and get me 

Oh Daddy come and get me and take me home with you 
I'm depending on you Daddy 'cause there's nothing else I can do 
And you said that I could come to you if I ever was in need 
But Daddy I can't come to you, you'll have to come to me 

Oh Daddy, come and get me",aprox,200,Daddy Come And Get Me
1072,1072,Songs about affairs,December 1963 (Oh What a Night),The Four Seasons,"Oh, what a night, late December back in '63
What a very special time for me
As I remember what a night!

Oh what a night,
You know I didn't even know her name
But I was never gonna be the same
What a lady, what a night!

Oh, I got a funny feeling when she walked in the room
And I, as I recall it ended much too soon

Oh what a night,
Hypnotizing, mesmerizing me
She was everything I dreamed she'd be
Sweet surrender, what a night!

I felt a rush like a rolling bolt of thunder
Straining my head around and taking my body under

(Oh what a night!)

Oh, I got a funny feeling when she walked in the room
And I, as I recall it ended much too soon

Oh what a night,
Why'd it take so long to see the light?
Seemed so wrong, but now it seems so right
What a lady, what a night!

I felt a rush like a rolling bolt of thunder
Straining my head around and taking my body under

(Oh what a night!)

I felt a rush like a rolling bolt of thunder
Straining my head around and taking my body under
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
Oh what a night!  Doo dit doo dit dit doo dit doo dit dit
",aprox,200,"December 1963 (Oh, What A Night)"
1236,1236,Songs about a breakup,Happier,Marshmello,"Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

When the morning comes
When we see what we've become
In the cold light of day we're a flame in the wind
Not the fire that we've begun
Every argument, every word we can't take back
'Cause with the all that has happened
I think that we both know the way that the story ends

Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave

Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

When the evening falls
And I'm left there with my thoughts
And the image of you being with someone else
Well, that's eating me up inside
But we ran our course, we pretended we're okay
Now if we jump together at least we can swim
Far away from the wreck we made

Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I want to raise your spirits
I want to see you smile but
Know that means I'll have to leave

Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

So I'll go, I'll go
I will go, go, go
So I'll go, I'll go
I will go, go, go

Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
Even though I might not like this
I think that you'll be happier, I want you to be happier

Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I want to raise your spirits
I want to see you smile but
Know that means I'll have to leave

Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

So I'll go, I'll go
I will go, go, go",aprox,200,Happier (Feat. Bastille)
1256,1256,Songs about a mother or father,Dear Father (Complete Unknown),Sum 41,"Not too hard to decipher, i think i aced this

Address this letter to dear father
I know you as complete unkown
i guess it's better you don't bother
All our truths should be left alone
Be left alone
Be left alone

I learned the things you never showed me
Took the chances you'd of known
And to this day the one and only
You remain a complete unkown
Complete Unkown
Complete Unkown

You're out there somewhere
I don't know if you care at all
It seems that you don't
It's as if the day will never come
So you remain a complete unkown
(unknown) [x8]

So may years have been ignored
You've been gone without a trace
I'm getting used to knowing you're just a name without 
a face
Without a face
Without a face

You're out there somewhere
I don't know if you care at all
It seems that you don't
It's as if the day will never come
So you remain a complete unkown

You're out there somewhere
I don't know if you care at all
It seems that you don't
It's as if the day will never come
So you remain a complete unkown
(unknown) [x8]

Adress this letter to dear father
I know you as complete unkown
i guess it's better you don't bother
All our truths should be left alone

You're out there somewhere
I don't know if you care at all
It seems that you don't
It's as if the day will never come
So you remain a complete unkown

You're out there somewhere
I don't know if you care at all
It seems that you don't
It's as if the day will never come
So you remain a complete unkown

You're out there somewhere
I don't know if you care",aprox,200,Dear Father
1273,1273,Songs about affairs,Love Galore,SZA,"I need, I need
I need, I need
I need, I need
I need, I need
I need, I need

Love, love, love, love
Long as we got
Love, love, love
Long as we got

Done with these niggas, I don't love these niggas
I dust off these niggas, do it for fun
Don't take it personal
Personally, I'm surprised you called me after the things I said
Skrrt-skrrt on niggas (Yeah), skrrt up on niggas (True)
Skrrt down, you actin' like me
Actin' like we wasn't more than a summer fling
I said farewell, you took it well (True)
Promise I won't cry over spilled milk (Ooh, no, I won't)
Give me a paper towel, give me another Valium
Give me another hour or two, hour with you
Why you bother me when you know you don't want me (Yeah)
Why you bother me when you know you got a woman?
(No; yeah)
Why you hit me when you know you know better?
(You know you better not hit on me)
Know you know better
Know your crew better than you do (Know better)
Call me, lookin' for ya (Yeah), I be lookin' for ya (Yeah)
Got me lookin' forward to weekends
With you, baby, with you, baby
With you, baby (True), with you
We do whatever we want, go wherever we want
Love however we want, it don't matter (True)
You do whatever I want, get whatever I want
Get whatever I need, it's about

Love, love, love, love
Long as we got
Love, love, love
Long as we got

Should have never gave you my number, I did it with you
Should have never let you hit it, I split it with you
I regret it, you gots a fetish
You gots a problem, now it's a problem, oh, no
Skrrt-skrrt on bitches (Yeah)
I don't know these bitches (Yeah)
Dig dirt on bitches, do it for fun
Don't take it personal, baby
Love on my ladies, luh-love to my ladies, uh (True)
Dated a few (Straight up)

Give good, but you lie hard and you love 'em
But you stay hard and I love that
So I let you hang it for a bit
Kick it with your friends, get your ego tight
Oh, you faded? Good
Freaky for the night
Shit, it all depend on you
It's been a minute since I wiled out, feelin' wide open (Yeah)
Like why? Why give a bum nigga like three minutes? (True)
Six figures, my name on it
Hide now 'cause you came on it
Hype off a hundred-eighty seconds
That's three minutes, nigga, pipe down
I been looking good, I been feeling nice
Working on my aura (True), cleaning up
Working overtime, you been getting boring so
Skrrt-skrrt, give me room, room
You playin' games and you cancel
Gang-gang and you ain't so
Phone number don't change though

Love, love, love, love
Long as we got
Love, love, love
Long as we got

(Ooh)
I came to your city lookin' for lovin' 'n' licky
'Cause you promised to put it down
All up in your city lookin' for you
Searchin' for you like love
Only thing keepin' me from droppin' you right now
Right now (Love)
Only thing keepin' me by your side (Keep)
Only thing keepin' me by your side now",aprox,200,Love Galore (Alt. version)
1285,1285,Songs about alcohol,Crenshaw Punch,Deftones,"Remember that one time I bit you on the arm?
I was just afraid of solitude and being alone...
I want to be at your house right now, make you stand by the sink,
I swear to keep awake...

I can show you things like fire and more...
Remember the time I kicked the TV over
For months I'm sharing lungs
I can't talk to her
cause she'll throw rocks at me...

I might never see you again
I hope we fix
and stay special cause...

I ain't tryin to start a fight
but if only I could pull you in
for a moment...

I know this pain
that's so sweet
battlestations please guard us...

marry me
but don't lean on me
cause I'll fuck you till the morning
so stay
Gone!!

For months I'm sharing lungs
I can't talk to her
cause she'll throw rocks at me...

I'll be screaming and all besides
and if you're listening
you'll know

she knows that look when it comes to my music
my lungs are in the top drawer
by now I've got a lover inside of me

as long as we sleep right now
as long as we sleep right now

For months I'm sharing lungs
I can't talk to her
cause she'll throw rocks at me...

she'll throw rocks at me
For months I'm sharing lungs
I can't talk to her
cause she'll throw rocks at me",aprox,200,Crenshaw
1299,1299,Songs about an ex-girlfriend or ex-boyfriend,Are You Happy Now,Rascal Flatts,"[Rascal Flatts:]
Someone let your secret out
Everybody around here is talking about
how your knight in shining armor let you down
And now your alone, I told you so
This is what you wanted, baby now you got it
Something is wrong and you can't put your finger on it
Could it be that maybe, you did that to me, baby
And now you found

[Rascal Flatts & Lauren Alaina:]
What goes around comes back around
It's been that way forever
Baby, just look at you now, barely holding it together
We're so in love, but you gave that up
Just look around, are you happy now?
OOh, are you happy now?

[Lauren Alaina:]
Yeah, your going to spend some sleepless nights
Crying in the glow of the Tv light
With some sad song on and a glass of wine
Just to sit in the pain, baby, what a shame
This is what you wanted, baby now you got it
Something is wrong and you can't put your finger on it
Could it be that maybe, you did that to me, baby
And now you found

[Rascal Flatts & Lauren Alaina:]
What goes around comes back around
It's been that way forever
Baby, just look at you now, barely holding it together
We're so in love, but you gave that up
Just look around
Are you happy now?

Now that I'm not around (now that I'm not around)
Now that you've finally lost
what you thought that you needed
Never would have treated your heart, like you did

What goes around comes back around
It's been that way forever
Baby, just look at you now, barely holding it together
We're so in love, but you gave that up
Just look around
Just look around

What goes around comes back around
It's been that way forever
We're so in love (we're so in love)
But you gave that up (but you gave it up)
Just look around
Just look around
Are you happy now?
Are you happy now?
Are you happy?

What goes around comes back around",aprox,200,Are You Happy Now (Feat. Lauren Alaina)
1313,1313,Songs about angels,Whom Shall I Fear (God of Angel Armies),Chris Tomlin,"You hear me when I call
You are my morning song
Though darkness fills the night
It cannot hide the light
Whom shall I fear
You crush the enemy
Underneath my feet
You are my sword and shield
Though troubles linger still
Whom shall I fear
I know who goes before me
I know who stands behind
The God of angel armies
Is always by my side
The one who reigns forever
He is a friend of mine
The God of angel armies
Is always by my side
My strength is in your name
For you alone can save
You will deliver me
Yours is the victory
Whom shall I fear
Whom shall I fear
I know who goes before me
I know who stands behind
The God of angel armies
Is always by my side
The one who reigns forever
He is a friend of mine
The God of angel armies
Is always by my side
And nothing formed against me shall stand
You hold the whole world in your hands
I'm holding on to your promises
You are faithful
You are faithful
Nothing formed against me shall stand
You hold the whole world in your hands
I'm holding on to your promises
You are faithful
You are faithful
You are faithful
I know who goes before me
I know who stands behind
The God of angel armies
Is always by my side
The one who reigns forever
He is a friend of mine
The God of angel armies
Is always by my side
I know who goes before me
I know who stands behind
The God of angel armies
is always by my side
The one who reigns forever
He is a friend of mine
The God of angel armies
is always by my side
The God of angel armies
is always by my side",aprox,200,Whom Shall I Fear
1326,1326,Songs about anger or hatred,It's Not Me It's You,Skillet,"Let's get the story straight
You were a poison
You flooded through my veins
You left me broken
You tried to make me think
That the blame was all on me

With the pain you put me through
And now I know that it's not me it's you

It's not me it's you
Always has been you
All the lies and stupid things you say and do
It's you
It's not me it's you
All the lies and pain you put me through
I know that it's not me it's you
You
You
It's not me it's you, you

So here we go again
The same fight we're always in
I don't care so why pretend
Wake me when your lecture ends
You tried to make me small
Make me fall and it's all your fault

With the pain you put me through
And now I know that it's not me it's you

It's not me it's you
Always has been you
All the lies and stupid things you say and do
It's you
It's not me it's you
All the lies and pain you put me through
I know that it's not me it's you

Lets get the story straight
You were a poison
Flooding through my veins
You're driving me insane
And now you're gone away
I'm no longer choking
From the pain you put me through
And now I know that it's not me it's you

It's not me it's you
Always has been you
All the lies and stupid things you say and do
It's you
It's not me it's you
All the lies and pain you put me through
I know that it's not me it's you, you
It's not me it's you
It's not me it's you, you
It's not me it's you, you
It's not me it's you, you
It's not me it's you",aprox,200,"It's Not Me, It's You"
1408,1408,Songs about alcohol,Down Bound Train,Chuck Berry,"A stranger lying on a bar room floor 
Had drank so much he could drink no more, 
So he fell asleep with a troubled brain 
To dream that he rode on that down bound train. 
  
The engine with blood was sweaty and damp 
And brilliantly lit with a brimstone lamp, 
And imps for fuel was shovelling bones 
While the furnace rang with a thousand groans. 
  
The boiler was filled with lots of beer 
The devil himself was the engineer, 
The passengers were most a motley crew, 
Some were foreigners and others he knew. 
Rich men and lost beggars in rags 
Handsome young ladies and wicked old hags. 
  
As the train rushed on at a terrible pace 
Sulphuric fumes scorched their hands and face, 
Wider and wider the country grew 
Faster and faster the engine flew, 
Louder and louder the thunder crashed 
Brighter and brighter the lighting flashed, 
  
Hotter and hotter the air became 
Till their clothes were burned with each quivering refrain. 
Then out of the din there came a yell 
Ha ha said the devil we're nearing home, 
  
Oh how the passengers shrieked with pain 
They go to Satan with this down bound train. 
  
The stranger awoke with an anguished cry 
His clothes wet with sweat and his hair standing high, 
He fell on his knees on the bar room floor 
And prayed a prayer like never before. 
  
And the prayers and vows were not in vain 
For he never rode that down bound train. 
",aprox,200,Downbound Train
1424,1424,Songs about an ex-girlfriend or ex-boyfriend,Better,Meghan Trainor,"Finally blew up in my face
Crash and burnt to pieces
You got what you want from me
I gave you what you needed

I was warned but fooled by charm
And you deserve to be alone

And I deserve better
Better than you
I deserve better
Better than you
I deserve better
(I deserve, I deserve)
Tell 'em what they already know
I deserve better
(I deserve, I deserve)
Tell 'em what they already know
I deserve better

I used to cry to all my friends
But they would say, ""I told ya""
Finally, I can breathe again
The weight is off my shoulders

I was warned but fooled by charm
And you, you deserve to be alone

And I deserve better
Better than you
I deserve better
(I deserve, I deserve)
Better than you
I deserve better
(I deserve, I deserve)
Tell 'em what they already know
I deserve better
(I deserve, I deserve)
Tell 'em what they already know
I deserve better

Let's talk about the word ""deserve""
Or talk 'bout the world deserves a queen
(You queen)
Let's talk about that four letter word: love
I think you deserve a king
I think you deserve the world and everything in it
And I try to go get it to show you I meant it when I
Tell you I'm sorry, tomorrow I promise that I
Try to better, I'll do whatever for mine
And I ain't tryna be your friend's friends
Or your quote unquote fake friend
That's why I hate friends
I'd rather see you laugh to see you cry
I'd rather see you lead and tell a lie
And you ain't gotta say it, you deserve better

And I deserve better
Better than you
I deserve better
(I deserve, I deserve)
Better than you
I deserve better
(I deserve, I deserve)
Tell 'em what they already know
I deserve better
(I deserve, I deserve)
Tell 'em what they already know
I deserve better",aprox,200,Better (Feat. Yo Gotti)
1479,1479,Songs about authors or poets,I Believed You William Blake,Frank Turner,"Have you seen my husband?
You'd know him if you had
He's known around old London Town
Most people think he's mad
My husband, he talks with angels
And with spirits that he can see
He passes time with the divine
But not so much with me

But I held him when he faltered
When earth and faith did shake
And on my grave the words will say
""I believed you, William Blake""

We scraped by in the shadows
Sown with pity and with scorn
The great and good, they never could
Recognise a prophet born
With poetry and engravings
He presented paradise
He revealed to them a Jerusalem
They would not recognise

But I held him when he faltered
When earth and faith did shake
And on my grave the words will say
""I believed you, William Blake""

Mr. William Blake
There's one promise you must make
Dear William, if you're right
About life on the other side, about paradise
Then you must promise me
That you won't leave me when you leave
This world that didn't believe
Be a comfort to your wife
She gave you up her one and only certain life
Don't you leave me in my grave
I believed you William Blake
I'll be with you, damned or saved
Don't you leave me in my grave
I believed you William Blake",aprox,200,"I Believed You, William Blake"
1506,1506,Songs about a mother or father,"Embrace Me, You Child",Carly Simon,"At night (IN BED) I heard God whisper lullabyes
While Daddy next door whistled whiskey tunes
And sometimes when I wanted, they would harmonize
There was nothing those two couldn't do

Embrace me you child, you're a child of mine
And I'm leaving everything I am to you
Go chase the wild and night time streets sang Daddy
And God sang, Pray the devil doesn't get to you

I thought together they must sing the moon away
I thought that they must know each other well
For the magic that they made, when they played
Wasn't lost between their Heaven and their Hell

Then one night Daddy died and went to Heaven
And God came down to earth and slipped away
I pretended not to (KNOW) I'd been abandoned
But no-one sang the night into the day
And later night time songs came back again
But the singers don't compare with those I knew
And I never figured out where God and Daddy went",aprox,200,Embrace Me You Child
