name,link
Songs about groupies,https://www.songfacts.com/category/songs-about-groupies
Songs about gypsies or psychics,https://www.songfacts.com/category/songs-about-gypsies-or-psychics
Songs about hangovers,https://www.songfacts.com/category/songs-about-hangovers
Songs about heartache,https://www.songfacts.com/category/songs-about-heartache
Songs about Heaven,https://www.songfacts.com/category/songs-about-heaven
Songs about high school experiences,https://www.songfacts.com/category/songs-about-high-school-experiences
Songs about historical events,https://www.songfacts.com/category/songs-about-historical-events
Songs about homelessness or desperation,https://www.songfacts.com/category/songs-about-homelessness-or-desperation
Songs about household chores,https://www.songfacts.com/category/songs-about-household-chores
Songs about individuality,https://www.songfacts.com/category/songs-about-individuality
Songs about inner beauty or body image,https://www.songfacts.com/category/songs-about-inner-beauty-or-body-image
Songs about insanity,https://www.songfacts.com/category/songs-about-insanity
Songs about inventors or scientists,https://www.songfacts.com/category/songs-about-inventors-or-scientists
Songs about jail,https://www.songfacts.com/category/songs-about-jail
Songs about jealousy,https://www.songfacts.com/category/songs-about-jealousy
Songs about Johnny Cash,https://www.songfacts.com/category/songs-about-johnny-cash
Songs about joy and happiness,https://www.songfacts.com/category/songs-about-joy-and-happiness
Songs about laziness or boredom,https://www.songfacts.com/category/songs-about-laziness-or-boredom
Songs about leaving the past behind,https://www.songfacts.com/category/songs-about-leaving-the-past-behind
Songs about liars or people who are fake,https://www.songfacts.com/category/songs-about-liars-or-people-who-are-fake
Songs about living in a small town,https://www.songfacts.com/category/songs-about-living-in-a-small-town
Songs about living in the moment,https://www.songfacts.com/category/songs-about-living-in-the-moment
Songs about loneliness or isolation,https://www.songfacts.com/category/songs-about-loneliness-or-isolation
Songs about long-distance relationships,https://www.songfacts.com/category/songs-about-long-distance-relationships
Songs about looking back on fond memories,https://www.songfacts.com/category/songs-about-looking-back-on-fond-memories
Songs about Los Angeles,https://www.songfacts.com/category/songs-about-los-angeles
Songs about love triangles,https://www.songfacts.com/category/songs-about-love-triangles
"Songs about magic, witchcraft, UFOs or the occult",https://www.songfacts.com/category/songs-about-magic-witchcraft-ufos-or-the-occult
Songs about marital problems or divorce,https://www.songfacts.com/category/songs-about-marital-problems-or-divorce
Songs about masturbation,https://www.songfacts.com/category/songs-about-masturbation
Songs about medical conditions,https://www.songfacts.com/category/songs-about-medical-conditions
Songs about messiahs or cult leaders,https://www.songfacts.com/category/songs-about-messiahs-or-cult-leaders
